" Date","Type"," Amount"
"8/23/2023","Deposit","71.14"
"2/24/2023","Transfer","231.02"
"7/18/2023","Withdrawal","2299.24"
"1/29/2023","Withdrawal","2222.97"
"10/31/2023","Transfer","2033.74"
"11/24/2023","Deposit","4119.78"
"3/4/2023","Transfer","3518.75"
"5/29/2023","Transfer","546.01"
"11/9/2023","Withdrawal","1819.77"
"9/26/2023","Transfer","2987.43"
"6/4/2023","Deposit","1918.62"
"7/15/2023","Deposit","1049.44"
"12/10/2023","Deposit","3143.98"
"4/15/2023","Deposit","3015.22"
"9/22/2023","Deposit","4873.3"
"3/15/2023","Transfer","2809.74"
"3/16/2023","Deposit","4372.74"
"4/7/2023","Deposit","4746.49"
"8/29/2023","Transfer","2179.57"
"5/19/2023","Transfer","273.94"
"4/19/2023","Deposit","726.04"
"1/28/2023","Deposit","2524.81"
"4/12/2023","Withdrawal","4465.86"
"12/16/2023","Deposit","3274.12"
"4/29/2023","Deposit","1015.39"
"3/13/2023","Withdrawal","3508.21"
"1/27/2023","Transfer","4472.15"
"5/30/2023","Transfer","160.83"
"6/19/2023","Transfer","1221.63"
"6/9/2023","Deposit","774.37"
"5/22/2023","Withdrawal","3922.67"
"6/3/2023","Withdrawal","4458.47"
"9/7/2023","Deposit","2777.24"
"7/2/2023","Deposit","4242.53"
"7/22/2023","Deposit","3288.12"
"3/12/2023","Deposit","3286.93"
"7/2/2023","Transfer","2902.74"
"6/22/2023","Withdrawal","259.59"
"1/30/2023","Withdrawal","4685.52"
"11/18/2023","Withdrawal","1785.3"
"12/21/2023","Transfer","4014.86"
"6/3/2023","Transfer","4051.82"
"3/30/2023","Withdrawal","4829.15"
"8/9/2023","Transfer","1640.23"
"11/7/2023","Transfer","4987.02"
"12/24/2023","Withdrawal","1509.87"
"11/17/2023","Deposit","2262.34"
"1/25/2023","Withdrawal","3534.19"
"4/8/2023","Deposit","783.39"
"2/11/2023","Transfer","1339.2"
"10/27/2023","Deposit","3643.29"
"3/10/2023","Deposit","4872.18"
"12/27/2023","Deposit","3666.67"
"9/21/2023","Deposit","4312.87"
"12/28/2023","Transfer","197.06"
"3/4/2023","Withdrawal","2889.36"
"7/25/2023","Withdrawal","4571.32"
"5/28/2023","Deposit","3415.16"
"11/25/2023","Withdrawal","3385.55"
"9/12/2023","Withdrawal","1023.17"
"9/8/2023","Withdrawal","4307.09"
"9/18/2023","Withdrawal","4326.58"
"5/9/2023","Transfer","3073.9"
"1/11/2023","Withdrawal","2138.82"
"1/17/2023","Deposit","4123.12"
"3/9/2023","Withdrawal","2330.33"
"1/5/2023","Transfer","4114.85"
"7/25/2023","Withdrawal","2429.73"
"3/23/2023","Deposit","2903.17"
"3/8/2023","Transfer","3742.63"
"9/2/2023","Withdrawal","1332.32"
"9/24/2023","Deposit","1241.76"
"8/27/2023","Deposit","3342.53"
"8/19/2023","Deposit","4770.03"
"8/16/2023","Withdrawal","2235.71"
"6/2/2023","Transfer","4492.03"
"2/11/2023","Withdrawal","2595.75"
"10/18/2023","Transfer","4869.92"
"3/20/2023","Transfer","3962.32"
"2/28/2023","Deposit","4299.19"
"4/27/2023","Deposit","3401.22"
"9/6/2023","Deposit","4343.78"
"2/17/2023","Withdrawal","2968.06"
"8/1/2023","Transfer","2841.01"
"9/16/2023","Deposit","4369.82"
"1/24/2023","Withdrawal","85.18"
"8/24/2023","Transfer","2399.11"
"7/16/2023","Transfer","4351.67"
"12/23/2023","Withdrawal","988.79"
"2/2/2023","Transfer","4790.47"
"11/22/2023","Withdrawal","3705.6"
"6/24/2023","Deposit","3814.49"
"2/22/2023","Transfer","3330.73"
"6/22/2023","Withdrawal","2242.9"
"7/30/2023","Deposit","2310.17"
"11/9/2023","Deposit","4197.15"
"8/1/2023","Deposit","704.31"
"7/17/2023","Transfer","2615.12"
"10/23/2023","Deposit","1556.64"
"1/3/2023","Deposit","4921.74"
"2/18/2023","Deposit","28.43"
"1/14/2023","Withdrawal","327.73"
"7/25/2023","Transfer","4837.27"
"7/13/2023","Deposit","2723.52"
"10/8/2023","Transfer","701.29"
"9/17/2023","Deposit","2248.72"
"9/4/2023","Withdrawal","1620.06"
"3/4/2023","Deposit","4556.93"
"2/24/2023","Transfer","3441.02"
"9/15/2023","Deposit","661.29"
"1/23/2023","Transfer","2686.86"
"4/18/2023","Transfer","680.96"
"6/25/2023","Withdrawal","3329.5"
"1/15/2023","Deposit","3638.86"
"11/3/2023","Transfer","2815.18"
"6/1/2023","Withdrawal","4830.12"
"10/3/2023","Transfer","4722.23"
"11/8/2023","Withdrawal","1037.52"
"2/7/2023","Deposit","11.64"
"10/8/2023","Deposit","3317.12"
"3/27/2023","Deposit","2383.45"
"11/20/2023","Deposit","1679.95"
"3/21/2023","Deposit","4585.28"
"11/16/2023","Deposit","4892.75"
"6/20/2023","Transfer","4653.58"
"3/12/2023","Transfer","2505.97"
"3/29/2023","Withdrawal","3519.75"
"2/26/2023","Deposit","866.15"
"6/16/2023","Deposit","4754.77"
"4/29/2023","Transfer","1425.55"
"10/12/2023","Withdrawal","971.77"
"8/24/2023","Withdrawal","310.19"
"11/16/2023","Withdrawal","2756.35"
"10/30/2023","Deposit","4742.83"
"1/20/2023","Deposit","686.59"
"1/7/2023","Withdrawal","612.94"
"7/29/2023","Deposit","1370.26"
"8/26/2023","Deposit","3330.32"
"12/16/2023","Deposit","2743.59"
"4/24/2023","Deposit","490.07"
"11/5/2023","Withdrawal","2217.08"
"6/7/2023","Withdrawal","343.99"
"11/18/2023","Transfer","4261"
"5/7/2023","Deposit","544.49"
"7/22/2023","Deposit","2361.78"
"8/12/2023","Deposit","2557.21"
"3/11/2023","Transfer","2655.33"
"12/14/2023","Transfer","3049.68"
"4/30/2023","Transfer","3510.9"
"6/2/2023","Transfer","31.75"
"1/23/2023","Deposit","164.26"
"5/20/2023","Deposit","3061.64"
"4/22/2023","Deposit","918.89"
"5/18/2023","Transfer","4160.91"
"6/29/2023","Withdrawal","3141.28"
"4/29/2023","Withdrawal","4902.2"
"5/10/2023","Deposit","3642.74"
"7/7/2023","Withdrawal","462.66"
"3/22/2023","Transfer","863.17"
"7/20/2023","Transfer","242.28"
"11/23/2023","Deposit","3708.47"
"3/15/2023","Withdrawal","642.85"
"10/5/2023","Deposit","3322.2"
"5/6/2023","Transfer","2781.43"
"6/5/2023","Withdrawal","3170.16"
"7/2/2023","Transfer","2548.26"
"4/16/2023","Withdrawal","75.01"
"11/30/2023","Deposit","1273.56"
"5/27/2023","Transfer","4426.06"
"1/1/2023","Deposit","4647.05"
"7/3/2023","Transfer","495.08"
"3/29/2023","Withdrawal","4763.62"
"7/11/2023","Withdrawal","3355.92"
"3/28/2023","Transfer","4613.56"
"3/10/2023","Transfer","2011.81"
"12/6/2023","Transfer","517.71"
"4/20/2023","Withdrawal","1519.24"
"12/26/2023","Deposit","3451.51"
"6/21/2023","Deposit","3978.16"
"6/26/2023","Transfer","260.11"
"4/9/2023","Deposit","2439.89"
"2/5/2023","Deposit","331.19"
"8/13/2023","Deposit","4319.43"
"12/10/2023","Deposit","2386.93"
"10/20/2023","Withdrawal","4574.96"
"9/10/2023","Withdrawal","402.11"
"2/20/2023","Withdrawal","1659.05"
"10/20/2023","Transfer","3385.93"
"6/2/2023","Transfer","1474.99"
"12/8/2023","Withdrawal","4209.38"
"8/25/2023","Deposit","4934.3"
"9/18/2023","Withdrawal","1413.29"
"5/16/2023","Deposit","1811.78"
"9/11/2023","Deposit","4837.05"
"11/5/2023","Withdrawal","1796.72"
"4/15/2023","Transfer","2784.37"
"10/10/2023","Deposit","3848.52"
"11/13/2023","Deposit","2197.34"
"11/17/2023","Withdrawal","1869.31"
"3/25/2023","Deposit","2482.99"
"7/18/2023","Deposit","3899.8"
"2/14/2023","Withdrawal","1567.69"
"7/8/2023","Deposit","1760.53"
"2/19/2023","Transfer","953.81"
"10/31/2023","Transfer","3511.07"
"7/20/2023","Transfer","4498.26"
"6/24/2023","Withdrawal","936.84"
"5/22/2023","Withdrawal","182.6"
"10/2/2023","Transfer","1912.54"
"7/9/2023","Withdrawal","2056.67"
"5/14/2023","Withdrawal","3232.86"
"4/11/2023","Withdrawal","437.1"
"12/12/2023","Transfer","4109.28"
"9/26/2023","Withdrawal","2874.19"
"12/23/2023","Withdrawal","2734.39"
"10/29/2023","Transfer","1588.65"
"2/2/2023","Transfer","1832.68"
"4/26/2023","Withdrawal","286.58"
"4/7/2023","Withdrawal","3771.24"
"2/10/2023","Deposit","3027.64"
"11/25/2023","Transfer","4882.38"
"7/26/2023","Deposit","1774.27"
"1/29/2023","Deposit","3334.56"
"9/20/2023","Deposit","4598.53"
"4/5/2023","Deposit","3561.29"
"7/1/2023","Transfer","211.15"
"1/11/2023","Transfer","3164.86"
"2/11/2023","Transfer","2731.5"
"9/18/2023","Deposit","2501.57"
"1/2/2023","Transfer","2769.69"
"2/12/2023","Transfer","2308.22"
"1/4/2023","Transfer","3462.24"
"12/3/2023","Withdrawal","84.42"
"4/5/2023","Deposit","950.91"
"2/28/2023","Transfer","1833.27"
"1/30/2023","Transfer","2268.81"
"3/29/2023","Deposit","661.13"
"11/26/2023","Deposit","4102.53"
"8/8/2023","Transfer","4647.66"
"5/8/2023","Withdrawal","3758.57"
"6/20/2023","Transfer","4644.8"
"12/18/2023","Withdrawal","3718.67"
"8/13/2023","Deposit","2210.87"
"10/1/2023","Deposit","1971.73"
"6/14/2023","Withdrawal","840.33"
"6/7/2023","Deposit","441.37"
"7/16/2023","Withdrawal","1105.9"
"11/11/2023","Transfer","2665.36"
"1/30/2023","Transfer","683.39"
"7/15/2023","Deposit","4756.31"
"6/18/2023","Deposit","1100.33"
"11/3/2023","Deposit","4169.82"
"12/10/2023","Withdrawal","4095.91"
"3/8/2023","Deposit","714.61"
"7/3/2023","Transfer","3556.61"
"8/26/2023","Transfer","4122.33"
"7/21/2023","Transfer","4422.59"
"4/19/2023","Withdrawal","4770.36"
"8/6/2023","Transfer","4651.22"
"3/17/2023","Transfer","1562.57"
"11/17/2023","Deposit","1345.6"
"1/2/2023","Transfer","1993.68"
"1/11/2023","Deposit","2330.38"
"3/17/2023","Transfer","1177.09"
"4/2/2023","Transfer","439.56"
"4/7/2023","Deposit","3286.37"
"6/19/2023","Deposit","879.46"
"9/16/2023","Transfer","4575.35"
"10/24/2023","Withdrawal","1445.55"
"11/1/2023","Withdrawal","996.45"
"3/24/2023","Deposit","978.85"
"3/23/2023","Deposit","1454.45"
"10/20/2023","Transfer","3064.71"
"12/14/2023","Withdrawal","4891.8"
"8/11/2023","Withdrawal","2436.48"
"9/20/2023","Transfer","3002.39"
"2/7/2023","Withdrawal","4214.57"
"5/13/2023","Transfer","1676.85"
"3/2/2023","Transfer","907.58"
"3/24/2023","Deposit","2173.8"
"7/24/2023","Transfer","1600.28"
"1/28/2023","Withdrawal","4331.99"
"7/4/2023","Withdrawal","4889.92"
"5/10/2023","Transfer","3444.7"
"3/11/2023","Deposit","3272.27"
"7/26/2023","Withdrawal","3573.96"
"6/5/2023","Deposit","2343.65"
"2/6/2023","Transfer","3147.68"
"8/5/2023","Transfer","365.59"
"4/6/2023","Withdrawal","2472.31"
"9/6/2023","Withdrawal","1668.51"
"7/2/2023","Deposit","275.37"
"4/11/2023","Transfer","2728.43"
"8/16/2023","Deposit","1807.68"
"12/4/2023","Withdrawal","2957.16"
"1/3/2023","Withdrawal","2570.77"
"3/12/2023","Deposit","1388.34"
"4/7/2023","Transfer","2704.52"
"3/26/2023","Withdrawal","1900.08"
"8/27/2023","Transfer","4606.37"
"6/25/2023","Withdrawal","1884.41"
"10/20/2023","Transfer","210.35"
"5/11/2023","Withdrawal","3820.23"
"6/26/2023","Transfer","4818.78"
"4/11/2023","Transfer","855.23"
"8/5/2023","Withdrawal","4864.19"
"7/7/2023","Transfer","3089.8"
"9/3/2023","Transfer","4238.46"
"12/19/2023","Withdrawal","2369.75"
"9/26/2023","Deposit","3116.38"
"6/30/2023","Withdrawal","4206.88"
"11/2/2023","Deposit","4914.17"
"6/3/2023","Withdrawal","932.14"
"6/30/2023","Deposit","4494.75"
"2/26/2023","Deposit","3339.69"
"2/15/2023","Withdrawal","4734.84"
"12/16/2023","Transfer","1597.35"
"3/27/2023","Withdrawal","1220.54"
"8/23/2023","Deposit","1833.96"
"3/23/2023","Deposit","4423.65"
"6/27/2023","Deposit","2303.57"
"11/22/2023","Withdrawal","4757.86"
"4/3/2023","Deposit","1219.28"
"7/17/2023","Transfer","1110.51"
"6/11/2023","Transfer","3395.24"
"8/14/2023","Transfer","1465.4"
"7/12/2023","Withdrawal","654.48"
"5/26/2023","Transfer","1885.93"
"9/11/2023","Withdrawal","1338.17"
"10/10/2023","Deposit","2070.78"
"1/10/2023","Withdrawal","940.69"
"5/10/2023","Transfer","4785.34"
"11/11/2023","Withdrawal","4010.23"
"4/1/2023","Withdrawal","4206.1"
"3/4/2023","Withdrawal","1495.98"
"1/15/2023","Withdrawal","4285.23"
"8/30/2023","Deposit","2958.01"
"7/12/2023","Withdrawal","293.09"
"12/27/2023","Withdrawal","774.77"
"8/4/2023","Withdrawal","2235.35"
"9/19/2023","Deposit","1974.99"
"8/9/2023","Deposit","3978.44"
"5/14/2023","Deposit","4369.61"
"10/21/2023","Withdrawal","4326"
"10/31/2023","Withdrawal","1882.69"
"1/15/2023","Deposit","3182.52"
"11/24/2023","Withdrawal","2490.49"
"1/29/2023","Withdrawal","4445.71"
"9/15/2023","Deposit","4445.97"
"11/27/2023","Deposit","278.82"
"7/20/2023","Transfer","2864.98"
"3/29/2023","Deposit","2522.3"
"6/11/2023","Deposit","3854.26"
"1/24/2023","Deposit","987.08"
"8/29/2023","Deposit","3478.04"
"4/12/2023","Withdrawal","3695.66"
"10/8/2023","Deposit","143.46"
"4/27/2023","Withdrawal","2162.03"
"2/2/2023","Withdrawal","4894.94"
"12/30/2023","Deposit","1510.02"
"9/11/2023","Deposit","4423.82"
"10/26/2023","Transfer","2938.58"
"1/17/2023","Withdrawal","1489.76"
"1/7/2023","Deposit","4181.58"
"1/27/2023","Withdrawal","4953.4"
"2/5/2023","Transfer","3712.61"
"9/28/2023","Deposit","315.86"
"3/11/2023","Transfer","271.53"
"7/4/2023","Withdrawal","2462.86"
"8/16/2023","Transfer","40.27"
"3/10/2023","Transfer","3382.98"
"2/22/2023","Withdrawal","91.35"
"8/25/2023","Withdrawal","4865.59"
"7/16/2023","Withdrawal","4404.36"
"1/2/2023","Withdrawal","4078.74"
"4/17/2023","Withdrawal","4063.94"
"5/26/2023","Withdrawal","4173.53"
"6/9/2023","Transfer","2176.94"
"8/27/2023","Withdrawal","3961.36"
"5/6/2023","Withdrawal","1842.08"
"6/6/2023","Withdrawal","4243.45"
"11/1/2023","Withdrawal","3093.65"
"7/27/2023","Deposit","1798.14"
"7/22/2023","Transfer","3729.91"
"11/12/2023","Transfer","1221.69"
"5/7/2023","Deposit","4823.67"
"10/11/2023","Transfer","3327.08"
"12/8/2023","Transfer","2012"
"6/4/2023","Withdrawal","2758.13"
"5/16/2023","Transfer","3690.47"
"5/31/2023","Deposit","3988.64"
"2/1/2023","Transfer","4875.04"
"1/15/2023","Deposit","1052.7"
"12/13/2023","Deposit","2527.15"
"5/8/2023","Transfer","466.37"
"4/6/2023","Withdrawal","420.55"
"11/9/2023","Deposit","530.62"
"10/30/2023","Transfer","1304.92"
"4/11/2023","Transfer","3484.71"
"4/28/2023","Withdrawal","4307.06"
"1/10/2023","Withdrawal","2185.62"
"4/27/2023","Transfer","2780.46"
"12/14/2023","Withdrawal","1039.77"
"6/29/2023","Deposit","3957.5"
"8/12/2023","Transfer","4442.89"
"8/12/2023","Withdrawal","2433.13"
"9/5/2023","Transfer","812.76"
"9/11/2023","Withdrawal","35.46"
"11/15/2023","Deposit","2686.69"
"11/22/2023","Transfer","2493.2"
"5/17/2023","Withdrawal","4629.79"
"8/18/2023","Deposit","192.06"
"12/16/2023","Deposit","753.27"
"2/10/2023","Withdrawal","996.46"
"2/9/2023","Transfer","2740.15"
"9/29/2023","Withdrawal","1430.83"
"9/9/2023","Withdrawal","1036.34"
"1/25/2023","Deposit","2576.93"
"5/18/2023","Withdrawal","212.86"
"1/9/2023","Withdrawal","4876.46"
"10/23/2023","Transfer","4306.48"
"2/26/2023","Withdrawal","1367.09"
"10/29/2023","Transfer","1687.49"
"4/29/2023","Withdrawal","1237.03"
"9/20/2023","Deposit","4642.71"
"6/20/2023","Withdrawal","3269.45"
"12/26/2023","Transfer","2610.68"
"7/23/2023","Transfer","2547.91"
"2/26/2023","Withdrawal","837.94"
"5/25/2023","Withdrawal","4813.61"
"1/25/2023","Withdrawal","4573.84"
"4/21/2023","Transfer","4762.58"
"2/24/2023","Transfer","1461.75"
"5/27/2023","Deposit","2388.48"
"2/1/2023","Withdrawal","2599.44"
"3/28/2023","Transfer","2453.48"
"6/9/2023","Transfer","105.76"
"3/13/2023","Transfer","4167.41"
"1/22/2023","Transfer","3735.26"
"8/26/2023","Deposit","2379.24"
"7/2/2023","Transfer","1344.34"
"5/16/2023","Transfer","3178.53"
"2/15/2023","Withdrawal","700.08"
"1/5/2023","Deposit","4986.42"
"1/12/2023","Deposit","635.45"
"1/27/2023","Deposit","301.69"
"3/25/2023","Withdrawal","3065.92"
"2/5/2023","Deposit","2322.42"
"2/21/2023","Transfer","3597.81"
"5/10/2023","Deposit","648.56"
"3/15/2023","Transfer","1825.09"
"9/5/2023","Deposit","2510.16"
"1/12/2023","Deposit","2240.49"
"2/24/2023","Transfer","2919.34"
"12/2/2023","Withdrawal","517.73"
"9/11/2023","Withdrawal","2523.59"
"6/8/2023","Withdrawal","2778.29"
"4/1/2023","Transfer","4406.3"
"6/9/2023","Transfer","2859.67"
"11/16/2023","Deposit","2741"
"4/14/2023","Deposit","4062.27"
"4/1/2023","Transfer","334.34"
"11/11/2023","Deposit","3243.33"
"10/8/2023","Deposit","4060.9"
"12/26/2023","Withdrawal","482.03"
"3/9/2023","Transfer","4059.75"
"6/21/2023","Withdrawal","3937.91"
"6/20/2023","Deposit","14.71"
"5/23/2023","Deposit","1238.32"
"8/13/2023","Withdrawal","764.78"
"7/16/2023","Transfer","2561.58"
"7/17/2023","Deposit","4570.89"
"6/22/2023","Transfer","3017.51"
"6/2/2023","Withdrawal","3013"
"6/2/2023","Deposit","623.01"
"1/10/2023","Withdrawal","3335.23"
"7/9/2023","Transfer","4442.72"
"1/12/2023","Deposit","2152.44"
"1/29/2023","Transfer","3412.02"
"2/12/2023","Transfer","1481.71"
"3/29/2023","Deposit","1351.81"
"12/10/2023","Withdrawal","933.61"
"4/21/2023","Deposit","1215.1"
"3/10/2023","Transfer","1720.36"
"4/29/2023","Transfer","2837.97"
"9/24/2023","Transfer","3905.47"
"12/29/2023","Deposit","1454.92"
"9/4/2023","Transfer","848.88"
"11/15/2023","Deposit","2254.32"
"1/22/2023","Deposit","3949.68"
"11/22/2023","Transfer","1952.77"
"7/11/2023","Transfer","4567.24"
"3/31/2023","Transfer","1247.09"
"5/14/2023","Withdrawal","3793.99"
"12/18/2023","Withdrawal","2344.11"
"10/26/2023","Withdrawal","544.56"
"5/5/2023","Transfer","1412.55"
"12/21/2023","Transfer","4292.53"
"7/9/2023","Withdrawal","39.38"
"11/19/2023","Deposit","3784.15"
"3/23/2023","Withdrawal","4058.92"
"8/15/2023","Withdrawal","607.99"
"6/29/2023","Deposit","4811.33"
"12/22/2023","Withdrawal","4362.73"
"11/20/2023","Withdrawal","900.87"
"11/9/2023","Withdrawal","1214.87"
"6/1/2023","Deposit","4094.1"
"6/3/2023","Deposit","2736.4"
"11/1/2023","Withdrawal","4613.61"
"8/9/2023","Transfer","4895.91"
"10/21/2023","Withdrawal","1723.77"
"2/5/2023","Deposit","493.89"
"5/2/2023","Deposit","3520.54"
"7/1/2023","Deposit","4616.37"
"4/6/2023","Transfer","832.74"
"4/14/2023","Transfer","4927.07"
"3/23/2023","Transfer","987.39"
"1/24/2023","Withdrawal","440.52"
"6/17/2023","Deposit","2483.53"
"12/4/2023","Withdrawal","4029.81"
"4/13/2023","Withdrawal","1778.33"
"9/21/2023","Transfer","1665.89"
"8/19/2023","Withdrawal","993.59"
"7/1/2023","Transfer","4930.54"
"4/25/2023","Transfer","1715.91"
"9/24/2023","Deposit","3335.69"
"12/29/2023","Deposit","670.58"
"8/15/2023","Withdrawal","2254.29"
"8/4/2023","Withdrawal","3981.17"
"12/17/2023","Deposit","4852.01"
"10/25/2023","Withdrawal","894.9"
"9/19/2023","Deposit","482.3"
"1/3/2023","Deposit","4937.64"
"11/26/2023","Transfer","2775.37"
"12/20/2023","Deposit","1733.65"
"11/17/2023","Deposit","4801.79"
"2/5/2023","Transfer","1957.04"
"7/3/2023","Transfer","1167.7"
"6/29/2023","Transfer","4019.48"
"5/5/2023","Transfer","1576.68"
"6/9/2023","Deposit","1616.67"
"4/22/2023","Deposit","2230.5"
"5/14/2023","Deposit","3467.87"
"12/1/2023","Deposit","4210.4"
"7/21/2023","Deposit","1138.6"
"6/1/2023","Deposit","1818.81"
"11/24/2023","Transfer","2485.88"
"12/3/2023","Deposit","137.8"
"3/18/2023","Transfer","3488.56"
"9/22/2023","Transfer","2834.18"
"9/11/2023","Deposit","676.47"
"3/11/2023","Transfer","660.34"
"1/23/2023","Deposit","4476.96"
"12/8/2023","Withdrawal","3419.72"
"8/1/2023","Transfer","1946.42"
"9/30/2023","Withdrawal","1697.03"
"4/8/2023","Transfer","1591.1"
"5/3/2023","Deposit","3276.75"
"1/25/2023","Deposit","901.95"
"2/7/2023","Deposit","4937.3"
"9/16/2023","Deposit","3438.41"
"7/14/2023","Transfer","644.33"
"9/27/2023","Deposit","698.77"
"9/23/2023","Withdrawal","3244.98"
"3/7/2023","Transfer","1922.04"
"7/18/2023","Withdrawal","3303.19"
"5/22/2023","Deposit","3615.36"
"8/29/2023","Deposit","2694.22"
"7/28/2023","Deposit","1290.2"
"5/6/2023","Transfer","2760.29"
"9/23/2023","Withdrawal","2115.11"
"12/21/2023","Deposit","4452.78"
"11/1/2023","Deposit","3703.65"
"6/25/2023","Deposit","3098.73"
"2/16/2023","Transfer","208.22"
"3/1/2023","Transfer","4950.95"
"10/8/2023","Deposit","2835.69"
"5/15/2023","Withdrawal","1302.3"
"11/29/2023","Deposit","2961.71"
"5/1/2023","Transfer","4091.3"
"6/16/2023","Deposit","2697.4"
"2/12/2023","Withdrawal","3886.68"
"2/15/2023","Transfer","2071.06"
"8/5/2023","Withdrawal","2953.91"
"10/26/2023","Withdrawal","2117.03"
"10/12/2023","Deposit","2643.7"
"12/5/2023","Transfer","845.87"
"4/13/2023","Transfer","2997.22"
"3/27/2023","Transfer","4894.97"
"7/13/2023","Withdrawal","3826.43"
"8/2/2023","Transfer","1607.04"
"12/21/2023","Withdrawal","4320.66"
"8/14/2023","Transfer","4479.67"
"7/16/2023","Deposit","892.26"
"6/4/2023","Withdrawal","275.14"
"12/4/2023","Deposit","2866.65"
"1/3/2023","Deposit","2384.66"
"11/8/2023","Deposit","3576.28"
"11/16/2023","Deposit","1472.36"
"10/4/2023","Withdrawal","1907.26"
"1/24/2023","Transfer","1326.62"
"5/28/2023","Withdrawal","1467.77"
"11/4/2023","Deposit","56.34"
"1/13/2023","Deposit","2558.67"
"8/6/2023","Transfer","2371.04"
"6/20/2023","Deposit","1785.81"
"12/16/2023","Withdrawal","2705.55"
"3/19/2023","Withdrawal","1964.88"
"8/27/2023","Withdrawal","2168.48"
"9/2/2023","Withdrawal","19.9"
"4/12/2023","Deposit","340.87"
"1/30/2023","Transfer","762.01"
"9/28/2023","Withdrawal","928.26"
"7/22/2023","Deposit","2266.44"
"7/31/2023","Withdrawal","4375.81"
"6/2/2023","Transfer","2036.11"
"6/15/2023","Deposit","3139.69"
"2/12/2023","Withdrawal","138.76"
"2/9/2023","Transfer","4275.68"
"5/31/2023","Deposit","574.54"
"2/13/2023","Deposit","1428.6"
"3/22/2023","Withdrawal","4085.51"
"9/14/2023","Deposit","1331.74"
"4/13/2023","Deposit","1297.42"
"12/4/2023","Withdrawal","3018.9"
"2/10/2023","Withdrawal","4517.19"
"11/14/2023","Deposit","1076.11"
"7/7/2023","Withdrawal","3107.88"
"7/27/2023","Withdrawal","3004.94"
"4/18/2023","Deposit","3301.02"
"11/25/2023","Withdrawal","4734.38"
"11/30/2023","Transfer","837.75"
"7/13/2023","Deposit","3275.24"
"2/26/2023","Deposit","920.08"
"5/1/2023","Transfer","1578.36"
"10/25/2023","Withdrawal","1955.91"
"3/26/2023","Withdrawal","4178.6"
"3/7/2023","Withdrawal","278.01"
"3/11/2023","Deposit","3670.93"
"8/21/2023","Withdrawal","4563.83"
"8/31/2023","Withdrawal","405.42"
"9/24/2023","Deposit","3955.74"
"1/4/2023","Deposit","547.13"
"3/20/2023","Withdrawal","4814.64"
"8/6/2023","Transfer","4078.67"
"8/24/2023","Deposit","3477.97"
"3/20/2023","Transfer","2754.8"
"6/26/2023","Transfer","4604.88"
"8/30/2023","Deposit","604.17"
"6/14/2023","Transfer","617.7"
